upd    1 | step    2048 | mean_ep_len  229.0 | mean_ep_rew  229.0 | pg_loss -0.040 | v_loss 124.392 | ent 2.188 | clipfrac 0.048 | sps 4064
upd   62 | step  126976 | mean_ep_len  312.0 | mean_ep_rew  312.0 | pg_loss -0.048 | v_loss 72.413 | ent 2.071 | clipfrac 0.149 | sps 4342
upd   63 | step  129024 | mean_ep_len  336.3 | mean_ep_rew  336.3 | pg_loss +0.009 | v_loss 69.421 | ent 2.052 | clipfrac 0.098 | sps 4342
upd   64 | step  131072 | mean_ep_len  336.0 | mean_ep_rew  336.0 | pg_loss +0.017 | v_loss 72.265 | ent 1.983 | clipfrac 0.068 | sps 4327
upd   65 | step  133120 | mean_ep_len  355.2 | mean_ep_rew  355.2 | pg_loss -0.010 | v_loss 74.296 | ent 1.967 | clipfrac 0.121 | sps 4329
upd   66 | step  135168 | mean_ep_len  396.2 | mean_ep_rew  396.2 | pg_loss -0.005 | v_loss 73.463 | ent 2.019 | clipfrac 0.083 | sps 4332
upd   67 | step  137216 | mean_ep_len  353.0 | mean_ep_rew  353.0 | pg_loss +0.005 | v_loss 61.612 | ent 1.977 | clipfrac 0.013 | sps 4338
upd   68 | step  139264 | mean_ep_len  363.7 | mean_ep_rew  363.7 | pg_loss +0.015 | v_loss 72.910 | ent 2.021 | clipfrac 0.107 | sps 4339
upd   69 | step  141312 | mean_ep_len  382.0 | mean_ep_rew  382.0 | pg_loss -0.036 | v_loss 73.794 | ent 1.998 | clipfrac 0.072 | sps 4342
upd   70 | step  143360 | mean_ep_len  401.4 | mean_ep_rew  401.4 | pg_loss -0.044 | v_loss 76.383 | ent 2.021 | clipfrac 0.049 | sps 4346
upd   71 | step  145408 | mean_ep_len  422.0 | mean_ep_rew  422.0 | pg_loss -0.013 | v_loss 68.605 | ent 2.042 | clipfrac 0.047 | sps 4333
upd   72 | step  147456 | mean_ep_len  451.4 | mean_ep_rew  451.4 | pg_loss -0.019 | v_loss 71.986 | ent 2.039 | clipfrac 0.092 | sps 4335
upd   73 | step  149504 | mean_ep_len  438.1 | mean_ep_rew  438.1 | pg_loss -0.003 | v_loss 62.728 | ent 2.061 | clipfrac 0.019 | sps 4329
upd   74 | step  151552 | mean_ep_len  437.0 | mean_ep_rew  437.0 | pg_loss -0.012 | v_loss 68.077 | ent 2.081 | clipfrac 0.066 | sps 4332
upd   75 | step  153600 | mean_ep_len  370.0 | mean_ep_rew  370.0 | pg_loss -0.023 | v_loss 72.927 | ent 2.120 | clipfrac 0.090 | sps 4335
upd   76 | step  155648 | mean_ep_len  385.4 | mean_ep_rew  385.4 | pg_loss +0.004 | v_loss 67.074 | ent 2.086 | clipfrac 0.033 | sps 4338
upd   77 | step  157696 | mean_ep_len  370.8 | mean_ep_rew  370.8 | pg_loss -0.032 | v_loss 60.020 | ent 2.116 | clipfrac 0.031 | sps 4342
upd   78 | step  159744 | mean_ep_len  323.4 | mean_ep_rew  323.4 | pg_loss +0.002 | v_loss 56.997 | ent 2.108 | clipfrac 0.003 | sps 4345
upd   79 | step  161792 | mean_ep_len  269.2 | mean_ep_rew  269.2 | pg_loss -0.025 | v_loss 60.126 | ent 2.080 | clipfrac 0.068 | sps 4350
upd   80 | step  163840 | mean_ep_len  271.4 | mean_ep_rew  271.4 | pg_loss -0.023 | v_loss 66.946 | ent 2.066 | clipfrac 0.105 | sps 4353
upd   81 | step  165888 | mean_ep_len  269.0 | mean_ep_rew  269.0 | pg_loss -0.016 | v_loss 71.185 | ent 2.035 | clipfrac 0.069 | sps 4355
upd   82 | step  167936 | mean_ep_len  289.4 | mean_ep_rew  289.4 | pg_loss -0.009 | v_loss 65.209 | ent 2.036 | clipfrac 0.034 | sps 4358
upd   83 | step  169984 | mean_ep_len  304.5 | mean_ep_rew  304.5 | pg_loss +0.015 | v_loss 59.066 | ent 2.026 | clipfrac 0.082 | sps 4360
upd   84 | step  172032 | mean_ep_len  294.6 | mean_ep_rew  294.6 | pg_loss +0.010 | v_loss 53.937 | ent 2.026 | clipfrac 0.032 | sps 4365
upd   85 | step  174080 | mean_ep_len  317.8 | mean_ep_rew  317.8 | pg_loss +0.015 | v_loss 62.395 | ent 2.088 | clipfrac 0.110 | sps 4368
upd   86 | step  176128 | mean_ep_len  296.8 | mean_ep_rew  296.8 | pg_loss -0.016 | v_loss 55.439 | ent 2.070 | clipfrac 0.019 | sps 4372
